country,itc_status,n_labs,total_plastic_kg,total_co2e_kg,mean_plastic_kg,mean_co2e_kg
Austria,non-ITC,2,233.4682,787.6955,116.7341,393.8478
Croatia,ITC,3,102.7879,330.7278,34.2626,110.2426
Czech Republic,ITC,1,38.0638,182.1597,38.0638,182.1597
Estonia,ITC,1,15.0662,52.7052,15.0662,52.7052
Finland,non-ITC,1,15.098,60.5909,15.098,60.5909
France,non-ITC,2,1663.291,5474.7818,831.6455,2737.3909
Germany,non-ITC,3,234.517,880.6993,78.1723,293.5664
Greece,ITC,1,63.921,283.6876,63.921,283.6876
Hungary,ITC,1,33.6736,91.1616,33.6736,91.1616
Iceland,non-ITC,1,390.0602,1235.8442,390.0602,1235.8442
Italy,non-ITC,5,798.6834,3197.0023,159.7367,639.4005
Lithuania,ITC,1,5.4518,23.3137,5.4518,23.3137
Netherlands,non-ITC,4,692.985,2419.6504,173.2462,604.9126
Poland,ITC,3,257.9128,879.6447,85.9709,293.2149
Portugal,ITC,4,4481.5999,15635.0342,1120.4,3908.7586
Romania,ITC,2,82.4822,401.6854,41.2411,200.8427
Serbia,ITC,2,63.7302,275.8903,31.8651,137.9452
Spain,non-ITC,2,2289.2677,6261.3042,1144.6338,3130.6521
Sweden,non-ITC,1,8.7635,35.9576,8.7635,35.9576
Switzerland,non-ITC,1,167.707,607.905,167.707,607.905
Turkey,ITC,10,808.084,2991.3419,80.8084,299.1342
UK,non-ITC,2,156.959,704.8593,78.4795,352.4297
